Name,Code,Market
하이젠알앤엠,160190,KRX
한국제15호스팩,479880,KRX
에스오에스랩,464080,KRX
미래에셋비전스팩6호,478440,KRX
에이치엠씨제7호스팩,477340,KRX
파라다이스,034230,KRX
한중엔시에스,107640,KRX
KB제29호스팩,478390,KRX
미래에셋비전스팩5호,477470,KRX
씨어스테크놀로지,458870,KRX
디비금융스팩12호,477760,KRX
라메디텍,462510,KRX
그리드위즈,453450,KRX
다원넥스뷰,323350,KRX
미래에셋비전스팩4호,477380,KRX
노브랜드,145170,KRX
아이씨티케이,456010,KRX
HD현대마린솔루션,443060,KRX
SK증권제12호스팩,473000,KRX
코칩,126730,KRX
민테크,452200,KRX
카티스,140430,KRX
디앤디파마텍,347850,KRX
유안타제16호스팩,474490,KRX
제일엠앤에스,412540,KRX
삐아,451250,KRX
하나33호스팩,475250,KRX
신한제13호스팩,474930,KRX
신한제12호스팩,474660,KRX
아이엠비디엑스,461030,KRX
SK이터닉스,475150,KRX
하나32호스팩,475240,KRX
엔젤로보틱스,455900,KRX
제이투케이바이오,420570,KRX
삼현,437730,KRX
오상헬스케어,036220,KRX
케이엔알시스템,199430,KRX
비엔케이제2호스팩,473370,KRX
하나31호스팩,469900,KRX
SK증권제11호스팩,472230,KRX
유안타제15호스팩,473050,KRX
유진스팩10호,468760,KRX
에이피알,278470,KRX
E8,418620,KRX
코셈,360350,KRX
케이웨더,068100,KRX
사피엔반도체,452430,KRX
에스피소프트,443670,KRX
스튜디오삼익,415380,KRX
신영스팩10호,472220,KRX
폰드그룹,472850,KRX
IBKS제24호스팩,469480,KRX
레이저옵텍,199550,KRX
이닉스,452400,KRX
엘앤에프,066970,KRX
포스뱅크,105760,KRX
현대힘스,460930,KRX
HB인베스트먼트,440290,KRX
드림인사이트,362990,KRX
대신밸런스제17호스팩,471050,KRX
우진엔텍,457550,KRX
세븐브로이맥주,267080,KRX
한빛레이저,452190,KRX
포스코DX,022100,KRX
DS단석,017860,KRX
IBKS제23호스팩,467930,KRX
하나30호스팩,469880,KRX
씨싸이트,109670,KRX
블루엠텍,439580,KRX
LS머트리얼즈,417200,KRX
케이엔에스,432470,KRX
교보15호스팩,465320,KRX
와이바이오로직스,338840,KRX
에이텀,355690,KRX
엔에이치스팩30호,466910,KRX
에이에스텍,453860,KRX
그린리소스,402490,KRX
제이엔비,452160,KRX
한선엔지니어링,452280,KRX
동인기연,111380,KRX
에코아이,448280,KRX
스톰테크,352090,KRX
에코프로머티,450080,KRX
캡스톤파트너스,452300,KRX
프로젠,296160,KRX
에스와이스틸텍,365330,KRX
에이직랜드,445090,KRX
한국제13호스팩,464440,KRX
메가터치,446540,KRX
비아이매트릭스,413640,KRX
컨텍,451760,KRX
큐로셀,372320,KRX
쏘닉스,088280,KRX
KB제27호스팩,464680,KRX
세니젠,188260,KRX
파라택시스이더리움,290560,KRX
유진테크놀로지,240600,KRX
유투바이오,221800,KRX
퀄리타스반도체,432720,KRX
미쥬,351020,KRX
워트,396470,KRX
에스엘에스바이오,246250,KRX
신성에스티,416180,KRX
퓨릿,445180,KRX
바이오텐,289170,KRX
에이치엠씨제6호스팩,462020,KRX
아이엠티,451220,KRX
레뷰코퍼레이션,443250,KRX
두산로보틱스,454910,KRX
신한제11호스팩,452980,KRX
한싹,430690,KRX
KT밀리의서재,418470,KRX
인스웨이브,450520,KRX
우듬지팜,403490,KRX
코어라인소프트,384470,KRX
STX그린로지스,465770,KRX
상상인제4호스팩,452670,KRX
율촌,146060,KRX
한화플러스제4호스팩,455310,KRX
대신밸런스제16호스팩,457630,KRX
유안타제11호스팩,444920,KRX
크라우드웍스,355390,KRX
한국제12호스팩,458610,KRX
시큐레터,418250,KRX
스마트레이더시스템,424960,KRX
넥스틸,092790,KRX
캔버스엔,210120,KRX
SK증권제10호스팩,457940,KRX
코츠테크놀로지,448710,KRX
큐리옥스바이오시스템즈,445680,KRX
NICE평가정보,030190,KRX
파두,440110,KRX
엠아이큐브솔루션,373170,KRX
시지트로닉스,429270,KRX
에피바이오텍,446440,KRX
조선내화,462520,KRX
에이엘티,172670,KRX
파로스아이바이오,388870,KRX
버넥트,438700,KRX
뷰티스킨,406820,KRX
와이랩,432430,KRX
센서뷰,321370,KRX
아이엠지티,456570,KRX
필에너지,378340,KRX
이노시뮬레이션,274400,KRX
알멕,354320,KRX
오픈놀,440320,KRX
아이티센피엔에스,232830,KRX
엔에이치스팩29호,451700,KRX
가이아코퍼레이션,296520,KRX
비에이치,090460,KRX
동국씨엠,460850,KRX
동국제강,460860,KRX
프로티아,303360,KRX
큐라티스,348080,KRX
마녀공장,439090,KRX
나라셀라,405920,KRX
진영,285800,KRX
이수스페셜티케미컬,457190,KRX
OCI,456040,KRX
기가비스,420770,KRX
팸텍,271830,KRX
모니터랩,434480,KRX
시선AI,340810,KRX
큐라켐,456190,KRX
지슨,446840,KRX
트루엔,417790,KRX
에스바이오메딕스,304360,KRX
슈어소프트테크,298830,KRX
토마토시스템,393210,KRX
마이크로투나노,424980,KRX
셀바이오휴먼텍,318160,KRX
SK오션플랜트,100090,KRX
삼성FN리츠,448730,KRX
현대그린푸드,453340,KRX
한화갤러리아,452260,KRX
지아이이노베이션,358570,KRX
LB인베스트먼트,309960,KRX
한화리츠,451800,KRX
엑스게이트,356680,KRX
금양그린파워,282720,KRX
라온텍,418420,KRX
자람테크놀로지,389020,KRX
나노팀,417010,KRX
바이오인프라,199730,KRX
이노진,344860,KRX
화인써키트,127980,KRX
제이오,418550,KRX
샌즈랩,411080,KRX
꿈비,407400,KRX
스튜디오미르,408900,KRX
삼기에너지솔루션즈,419050,KRX
오브젠,417860,KRX
미래반도체,254490,KRX
태양3C,052960,KRX
티이엠씨,425040,KRX
한주라이트메탈,198940,KRX
옵티코어,380540,KRX
아이오바이오,447690,KRX
타이드,346010,KRX
신스틸,162300,KRX
바이오노트,377740,KRX
마이크로엔엑스,448780,KRX
애니메디솔루션,390110,KRX
핑거스토리,417180,KRX
SAMG엔터,419530,KRX
아하,102950,KRX
인터로이드,311960,KRX
유니드비티플러스,446070,KRX
펨트론,168360,KRX
인벤티지랩,389470,KRX
엔젯,419080,KRX
유비온,084440,KRX
티쓰리,204610,KRX
티에프이,425420,KRX
윤성에프앤씨,372170,KRX
디티앤씨알오,383930,KRX
뉴로메카,348340,KRX
제이아이테크,417500,KRX
LX세미콘,108320,KRX
큐알티,405100,KRX
저스템,417840,KRX
산돌,419120,KRX
탈로스,434190,KRX
플라즈맵,405000,KRX
핀텔,291810,KRX
샤페론,378800,KRX
비스토스,419540,KRX
탑머티리얼,360070,KRX
에스비비테크,389500,KRX
오에스피,368970,KRX
모델솔루션,417970,KRX
이노룰스,296640,KRX
파인엠텍,441270,KRX
KB스타리츠,432320,KRX
선바이오,067370,KRX
더블유씨피,393890,KRX
알피바이오,314140,KRX
티엘엔지니어링,413300,KRX
오픈엣지테크놀로지,394280,KRX
대성하이텍,129920,KRX
쏘카,403550,KRX
에이치와이티씨,148930,KRX
새빗켐,107600,KRX
수산인더스트리,126720,KRX
아이씨에이치,368600,KRX
성일하이텍,365340,KRX
에이프릴바이오,397030,KRX
퓨쳐메디신,341170,KRX
벨로크,424760,KRX
루닛,328130,KRX
바스칸바이오제약,354390,KRX
HPSP,403870,KRX
와이씨켐,112290,KRX
코난테크놀로지,402030,KRX
넥스트칩,396270,KRX
레이저쎌,412350,KRX
보로노이,310210,KRX
위니아에이드,377460,KRX
비큐AI,148780,KRX
범한퓨얼셀,382900,KRX
코나솔,176590,KRX
청담글로벌,362320,KRX
마스턴프리미어리츠,357430,KRX
가온칩스,399720,KRX
대명에너지,389260,KRX
포바이포,389140,KRX
지투파워,388050,KRX
씨피시스템,413630,KRX
코람코더원리츠,417310,KRX
세아메카닉스,396300,KRX
공구우먼,366030,KRX
유일로보틱스,388720,KRX
모아데이타,288980,KRX
메쎄이상,408920,KRX
노을,376930,KRX
비씨엔씨,146320,KRX
풍원정밀,371950,KRX
스톤브릿지벤처스,330730,KRX
브이씨,365900,KRX
퓨런티어,370090,KRX
바이오에프디엔씨,251120,KRX
인카금융서비스,211050,KRX
나래나노텍,137080,KRX
아셈스,136410,KRX
스코넥,276040,KRX
이지트로닉스,377330,KRX
LG에너지솔루션,373220,KRX
애드바이오텍,179530,KRX
케이옥션,102370,KRX
코스텍시스템,169670,KRX
